date,productId,units,revenue,profit,orders,canceled
2026-08-02,3091096,0,0,0,0,1
2026-08-03,3091096,0,0,0,0,2
2026-08-04,3090856,3,69300,36225,3,0
2026-08-05,3090856,3,69300,36225,3,0
2026-08-06,3090546,0,0,0,0,1
2026-08-07,3090546,0,0,0,0,1
2026-08-12,3090856,1,20790,10343,1,0
2026-08-13,3090856,0,0,0,0,2
2026-08-14,3090856,1,18000,8250,1,0
2026-08-14,3091264,2,36000,16500,2,0
2026-08-17,3067167,1,76630,54272,1,0
2026-08-19,3091264,1,18000,8250,1,0
2026-08-20,3090856,0,0,0,0,1
2026-08-20,3091382,1,18000,8250,1,0
2026-08-22,3091264,1,18000,8250,1,0
2026-08-23,3090856,0,0,0,0,1
2026-08-23,3091264,1,18000,8250,1,0
2026-08-25,3155738,0,0,0,0,1
2026-08-26,3091264,1,18000,8250,1,0
2026-08-27,3091264,1,18000,8250,1,0
2026-08-27,3091382,1,18000,8250,1,0
2026-08-27,3146144,1,67000,55140,1,0
2026-08-29,3090271,1,35000,21000,1,0
2026-08-29,3090856,1,18000,8250,1,1
2026-08-29,3146144,1,66330,54524,1,0
2026-09-02,3166329,1,280000,211150,1,0
2026-09-02,3169134,6,390000,260700,2,0
2026-09-03,3146144,1,66000,54220,1,0
2026-09-03,3169134,4,260000,173800,3,0
2026-09-04,3155738,2,180000,137100,2,0
2026-09-05,3155738,2,180000,137100,2,0
2026-09-08,3155738,2,180000,137100,2,0
2026-09-08,3166329,1,280000,211150,1,0
2026-09-08,3169134,2,291000,212480,2,1
2026-09-09,3090040,1,25000,13500,1,0
2026-09-10,3155738,1,90000,68550,1,0
2026-09-10,3166329,2,560000,423050,2,0
2026-09-11,3067167,3,225000,159000,3,0
2026-09-11,3166329,1,280000,211150,1,0
2026-09-11,3169134,1,145500,106240,1,0
2026-09-12,3150143,1,39000,30630,1,0
